Year Added,Number,Family,Subfamily,Tribe,Genus,Species,Code,Common Name,ITIS ID,Other Scientific Names,Native?,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length,Other Notes,Sources
2015,83,Andrenidae,Andreninae,N/A,Andrena,brooksi,anbrooksi,Mining Bee,752206,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; VanDyk 2015
2015,84,Andrenidae,Andreninae,N/A,Andrena,bruneri,anbruneri,Mining Bee,654195,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Viereck and Cockerell 1914
2015,85,Andrenidae,Andreninae,N/A,Andrena,buccata,anbuccata,Mining Bee, 654196,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1971
2015,86,Andrenidae,Andreninae,N/A,Andrena,bucculenta,anbucculenta,Mining Bee,654197,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,87,Andrenidae,Andreninae,N/A,Andrena,buckelli,anbuckelli,Mining Bee,654198,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1980
2015,88,Andrenidae,Andreninae,N/A,Andrena,bullata,anbullata,Mining Bee,654199,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,89,Andrenidae,Andreninae,N/A,Andrena,caerulea,ancaerulea,Mining Bee,654200,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Thorp 2015a
2017,90,Andrenidae,Andreninae,N/A,Andrena,caeruleonitens,ancaeruleonitens,Mining Bee,752214,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2017; ITIS 2017
2015,91,Andrenidae,Andreninae,N/A,Andrena,californiensis,ancaliforniensis,Mining Bee,654201,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Ribble 1968
2015,92,Andrenidae,Andreninae,N/A,Andrena,caliginosa,ancaliginosa,Mining Bee,654202,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,93,Andrenidae,Andreninae,N/A,Andrena,callopyrrha,ancallopyrrha,Mining Bee,752217,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,94,Andrenidae,Andreninae,N/A,Andrena,calvata,ancalvata,Mining Bee,654203,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967
2017,95,Andrenidae,Andreninae,N/A,Andrena,camissoniae,ancamissoniae,Mining Bee,654204,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2017; ITIS 2017; LaBerge and Thorp 2005; Linsley and MacSwain 1968
2015,96,Andrenidae,Andreninae,N/A,Andrena,canadensis,ancanadensis,Mining Bee,654205,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Grundel et al. 2011; Hilty 2015; ITIS 2015; Mitchell 1960; VanDyk 2015; Viereck and Cockerell 1914
2015,97,Andrenidae,Andreninae,N/A,Andrena,candida,ancandida,Mining Bee,654206,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,98,Andrenidae,Andreninae,N/A,Andrena,candidiformis,ancandidiformis,Mining Bee,654207,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Ribble 1968; Viereck and Cockerell 1914
2015,99,Andrenidae,Andreninae,N/A,Andrena,capricornis,ancapricornis,Mining Bee,654208,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Minckley 2015
2015,100,Andrenidae,Andreninae,N/A,Andrena,carantonica,ancarantonica,Chocolate Mining Bee,752229,.,N,Ground,Univoltine,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,101,Andrenidae,Andreninae,N/A,Andrena,carlini,ancarlini,Mining Bee,654209,.,Y,Ground,.,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; Boulanger et al. 1967; Danforth 2009; Grundel et al. 2011; Hilty 2015; ITIS 2015; Mitchell 1960; VanDyk 2015
2015,102,Andrenidae,Andreninae,N/A,Andrena,caroli,cancaroli,Mining Bee,752233,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,103,Andrenidae,Andreninae,N/A,Andrena,carolina,ancarolina,Mining Bee,654210,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Boulanger et al. 1967; Hilty 2015; ITIS 2015; Mitchell 1960
2015,104,Andrenidae,Andreninae,N/A,Andrena,carolinensis,ancarolinensis,Mining Bee,752234,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Mitchell 1960
2017,105,Andrenidae,Andreninae,N/A,Andrena,casadae,ancasadae,Mining Bee,752235,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2017; ITIS 2017
2015,106,Andrenidae,Andreninae,N/A,Andrena,ceanothi,anceanothi,Mining Bee,654211,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; Grundel et al. 2011; Hilty 2015; ITIS 2015; LaBerge 1973; Mitchell 1960
2015,107,Andrenidae,Andreninae,N/A,Andrena,ceanothifloris,anceanothifloris,Mining Bee,654212,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1980
2015,108,Andrenidae,Andreninae,N/A,Andrena,cerasifolii,ancerasifolii,Mining Bee,654213,Andrena yumorum,Y,Ground,.,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Minckley 2015; Thorp 2015a; VanDyk 2015; Wilson and Messinger Carril 2016
2015,109,Andrenidae,Andreninae,N/A,Andrena,cercocarpi,ancercocarpi,Mining Bee,654214,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,110,Andrenidae,Andreninae,N/A,Andrena,cerebrata,ancerebrata,Mining Bee,654215,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Mitchell 1960
2015,111,Andrenidae,Andreninae,N/A,Andrena,chalybaea,anchalybaea,Mining Bee,654216,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,112,Andrenidae,Andreninae,N/A,Andrena,chalybioides,anchalybioides,Mining Bee,654217,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,113,Andrenidae,Andreninae,N/A,Andrena,chaparralensis,anchaparralensis,Mining Bee,654218,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Neff and Larkin 2002
2015,114,Andrenidae,Andreninae,N/A,Andrena,chapmanae,anchapmanae,Mining Bee,654219,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,115,Andrenidae,Andreninae,N/A,Andrena,cheyennorum,ancheyennorum,Mining Bee,654220,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Viereck and Cockerell 1914
2015,116,Andrenidae,Andreninae,N/A,Andrena,chippewaensis,anchippewaensis,Mining Bee,752249,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Mitchell 1960
2015,117,Andrenidae,Andreninae,N/A,Andrena,chlorogaster,anchlorogaster,Mining Bee,654221,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Ribble 1968; Thorp 2015a
2015,118,Andrenidae,Andreninae,N/A,Andrena,chlorosoma,anchlorosoma,Mining Bee,654222,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
